Date,Open,High,Low,Close,Volume,Adj Close
2010-01-01,311.44931,312.721039,261.10675,263.257751,179358400,263.257751
2010-02-01,265.572693,271.981018,258.319885,261.697906,104743200,261.697906
2010-03-01,262.890167,292.239258,262.164856,281.727631,168637000,281.727631
2010-04-01,283.828979,296.988373,258.831543,261.151459,147070900,261.151459
2010-05-01,261.548889,264.738129,228.513733,241.245926,164181400,241.245926
2010-06-01,238.662735,252.979614,220.923111,221.037369,120502500,221.037369
2010-07-01,221.206268,247.142578,215.41394,240.858444,139519800,240.858444
2010-08-01,242.91507,252.656708,222.378647,223.555984,106395800,223.555984
2010-09-01,226.019958,266.69043,224.787964,261.196167,120176800,261.196167
2010-10-01,263.287567,310.351471,257.748596,304.867126,159726000,304.867126
2010-11-01,305.87558,313.386719,274.867249,276.059509,117642000,276.059509
2010-12-01,279.680939,301.538788,279.382874,295.065887,85118500,295.065887
2011-01-01,296.312775,319.402588,295.850769,298.240234,120747200,298.240234
2011-02-01,300.291901,313.550659,298.732025,304.718109,84280400,304.718109
2011-03-01,306.893951,307.609283,273.858826,291.484161,121057900,291.484161
2011-04-01,292.477722,295.671936,257.82312,270.292023,141395000,270.292023
2011-05-01,271.086853,271.101746,255.041199,262.80072,91243400,262.80072
2011-06-01,262.313904,264.877228,234.981674,251.553879,119017100,251.553879
2011-07-01,251.732727,311.722534,251.553879,299.89447,163163100,299.89447
2011-08-01,303.635132,305.761322,243.844025,268.732147,214937600,268.732147
2011-09-01,268.627838,277.455414,253.600571,255.855911,118020100,255.855911
2011-10-01,253.277679,299.402679,238.747177,294.405182,155433000,294.405182
2011-11-01,288.17569,307.152283,278.851349,297.758362,121383100,297.758362
2011-12-01,298.061401,321.290314,297.564636,320.863098,110809000,320.863098
2012-01-01,324.360352,332.959412,280.450928,288.180664,148241000,288.180664
2012-02-01,290.580048,310.778687,287.698792,307.127441,95343200,307.127441
2012-03-01,309.119476,327.167084,295.001312,318.548157,95273600,318.548157
2012-04-01,318.314667,324.459717,293.193054,300.470734,118519300,300.470734
2012-05-01,299.944153,316.864105,287.629242,288.553253,118108000,288.553253
2012-06-01,284.047546,292.045532,276.461884,288.160797,93611600,288.160797
2012-07-01,289.030151,319.223755,279.228882,314.43988,103238300,314.43988
2012-08-01,316.590881,342.26886,309.690765,340.331482,94736400,340.331482
2012-09-01,340.063202,379.973633,334.573914,374.812195,121135900,374.812195
2012-10-01,377.07251,384.687988,332.686188,337.951935,144530000,337.951935
2012-11-01,337.554535,347.35083,315.945068,346.928558,93963200,346.928558
2012-12-01,348.851074,362.194275,338.960388,351.404449,83931400,351.404449
2013-01-01,357.385559,378.016357,345.512787,375.403351,105490000,375.403351
2013-02-01,376.650238,401.871216,376.600586,398.011322,93281700,398.011322
2013-03-01,396.322296,419.273041,394.086853,394.528961,85649100,394.528961
2013-04-01,394.93631,411.145905,378.17038,409.620819,107798400,409.620819
2013-05-01,408.970032,457.325531,405.542328,432.795074,99475100,432.795074
2013-06-01,433.679321,452.477081,420.87262,437.340515,97791000,437.340515
2013-07-01,440.36087,461.001617,434.975891,441.006683,103155300,441.006683
2013-08-01,444.608246,451.91571,420.048004,420.713654,67407600,420.713654
2013-09-01,424.419556,450.067749,424.215881,435.124939,66675300,435.124939
2013-10-01,437.280914,517.394836,418.766327,511.960205,111165100,511.960205
2013-11-01,512.561279,530.549316,499.252838,526.37146,52852500,526.37146
2013-12-01,528.318787,556.878052,521.120605,556.734009,68124700,556.734009
2014-01-01,554.125916,589.436279,537.638184,586.669312,109730500,586.669312
2014-02-01,585.789978,610.469482,560.365356,603.897217,81618000,603.897217
2014-03-01,599.476013,609.530579,549.896362,555.445007,71857600,555.445007
2014-04-01,555.654724,601.522522,500.050446,523.779968,67539600,523.779968
2014-05-01,524.227539,564.734802,500.547729,556.828247,36727500,556.828247
2014-06-01,557.63385,579.264893,535.803833,572.134094,38105800,572.134094
2014-07-01,575.157471,596.37085,561.920288,568.474243,34704900,568.474243
2014-08-01,567.280762,584.128174,556.937683,568.474243,27734000,568.474243
2014-09-01,568.722839,593.21814,565.102783,574.202698,33608300,574.202698
2014-10-01,572.860107,577.822815,505.321472,556.022705,52305400,556.022705
2014-11-01,552.46228,554.849121,527.181274,538.867004,28598100,538.867004
2014-12-01,535.953064,538.449341,486.325928,523.521423,45989600,523.521423
2015-01-01,526.114746,539.202759,484.891632,531.594604,50208900,531.594604
2015-02-01,528.819885,561.619385,515.712036,555.343933,32578800,555.343933
2015-03-01,557.46228,574.747131,541.241516,545.000854,38446900,545.000854
2015-04-01,545.597534,568.01416,518.158569,537.340027,42364400,537.340027
2015-05-01,538.429993,544.190002,521.085022,532.109985,31848600,532.109985
2015-06-01,536.789978,543.73999,520.5,520.51001,34334600,520.51001
2015-07-01,524.72998,678.640015,515.179993,625.609985,63319000,625.609985
2015-08-01,625.340027,674.900024,565.049988,637.609985,61388900,637.609985
2015-09-01,602.359985,650.900024,589.380005,608.419983,47889100,608.419983
2015-10-01,608.369995,730,599.849976,710.809998,49428500,710.809998
2015-11-01,711.059998,762.708008,705.849976,742.599976,33932700,742.599976
2015-12-01,747.109985,779.97998,724.169983,758.880005,43096800,758.880005
2016-01-01,743,752,673.26001,742.950012,46552500,742.950012
