Date,Open,High,Low,Close,Volume,Adj Close
2010-01-01,2.684,2.684,2.297,2.348,0,2.348
2010-02-01,2.378,2.507,2.197,2.284,0,2.284
2010-03-01,2.303,2.693,2.253,2.56,0,2.56
2010-04-01,2.574,2.757,2.41,2.42,0,2.42
2010-05-01,2.455,2.482,1.894,2.097,0,2.097
2010-06-01,2.057,2.213,1.765,1.795,0,1.795
2010-07-01,1.785,1.908,1.593,1.598,0,1.598
2010-08-01,1.622,1.644,1.279,1.342,0,1.342
2010-09-01,1.346,1.612,1.225,1.281,0,1.281
2010-10-01,1.294,1.318,1.071,1.179,0,1.179
2010-11-01,1.171,1.587,1.016,1.464,0,1.464
2010-12-01,1.582,2.188,1.517,2.016,0,2.016
2011-01-01,2.082,2.168,1.859,1.952,0,1.952
2011-02-01,2.007,2.415,1.987,2.137,0,2.137
2011-03-01,2.183,2.344,1.8,2.225,0,2.225
2011-04-01,2.268,2.352,1.97,1.975,0,1.975
2011-05-01,1.998,1.998,1.678,1.688,0,1.688
2011-06-01,1.652,1.81,1.37,1.754,0,1.754
2011-07-01,1.753,1.846,1.373,1.373,0,1.373
2011-08-01,1.347,1.37,0.793,0.952,0,0.952
2011-09-01,0.937,1.013,0.771,0.965,0,0.965
2011-10-01,0.952,1.22,0.843,1.011,0,1.011
2011-11-01,0.925,1.008,0.839,0.952,0,0.952
2011-12-01,0.978,1.02,0.797,0.83,0,0.83
2012-01-01,0.883,0.927,0.709,0.711,0,0.711
2012-02-01,0.72,0.927,0.699,0.875,0,0.875
2012-03-01,0.904,1.226,0.812,1.043,0,1.043
2012-04-01,1.031,1.105,0.807,0.811,0,0.811
2012-05-01,0.813,0.846,0.633,0.671,0,0.671
2012-06-01,0.631,0.773,0.6,0.729,0,0.729
2012-07-01,0.712,0.712,0.541,0.599,0,0.599
2012-08-01,0.592,0.836,0.583,0.596,0,0.596
2012-09-01,0.598,0.741,0.593,0.63,0,0.63
2012-10-01,0.625,0.833,0.603,0.715,0,0.715
2012-11-01,0.739,0.774,0.598,0.614,0,0.614
2012-12-01,0.639,0.783,0.592,0.725,0,0.725
2013-01-01,0.78,0.917,0.728,0.881,0,0.881
2013-02-01,0.896,0.91,0.746,0.769,0,0.769
2013-03-01,0.748,0.921,0.724,0.769,0,0.769
2013-04-01,0.79,0.79,0.65,0.678,0,0.678
2013-05-01,0.665,1.089,0.641,1.053,0,1.053
2013-06-01,1.063,1.557,0.947,1.385,0,1.385
2013-07-01,1.425,1.611,1.282,1.391,0,1.391
2013-08-01,1.386,1.724,0.323,1.601,0,1.601
2013-09-01,1.68,1.848,1.381,1.388,0,1.388
2013-10-01,1.409,1.472,1.25,1.315,0,1.315
2013-11-01,1.359,1.46,1.289,1.367,0,1.367
2013-12-01,1.405,1.756,1.385,1.748,0,1.748
2014-01-01,1.75,1.777,1.485,1.51,0,1.51
2014-02-01,1.515,1.582,1.422,1.511,0,1.511
2014-03-01,1.471,1.786,1.451,1.732,0,1.732
2014-04-01,1.73,1.811,1.001,1.681,0,1.681
2014-05-01,1.69,1.765,1.465,1.528,0,1.528
2014-06-01,1.562,1.758,1.552,1.625,0,1.625
2014-07-01,1.648,1.807,1.61,1.763,0,1.763
2014-08-01,1.771,1.789,1.495,1.628,0,1.628
2014-09-01,1.661,1.874,1.628,1.78,0,1.78
2014-10-01,1.747,1.768,1.118,1.613,0,1.613
2014-11-01,1.608,1.701,1.511,1.511,0,1.511
2014-12-01,1.469,1.791,1.454,1.653,0,1.653
2015-01-01,1.686,1.705,1.159,1.187,0,1.187
2015-02-01,1.189,1.636,1.168,1.505,0,1.505
2015-03-01,1.509,1.711,1.34,1.375,0,1.375
2015-04-01,1.341,1.507,1.26,1.442,0,1.442
2015-05-01,1.456,1.635,1.447,1.467,0,1.467
2015-06-01,1.492,1.809,1.471,1.628,0,1.628
2015-07-01,1.699,1.752,1.473,1.548,0,1.548
2015-08-01,1.552,1.671,1.292,1.484,0,1.484
2015-09-01,1.504,1.614,1.372,1.375,0,1.375
2015-10-01,1.365,1.558,1.215,1.528,0,1.528
2015-11-01,1.553,1.779,1.543,1.654,0,1.654
2015-12-01,1.666,1.829,1.568,1.758,0,1.758
2016-01-01,1.72,1.74,1.328,1.335,0,1.335
